District,Sector,Latitude,Longitude,Soil_Texture
Nyarugenge,Gitega,-1.9547,30.0574,Clay loam
Nyarugenge,Kanyinya,-1.9425,30.0234,Sandy clay
Nyarugenge,Kigali,-1.9494,30.0588,Clay
Nyarugenge,Kimisagara,-1.9569,30.0397,Sandy loam
Nyarugenge,Mageragere,-1.9872,30.0089,Clay loam
Nyarugenge,Muhima,-1.9436,30.0614,Sandy clay
Nyarugenge,Nyakabanda,-1.9647,30.0397,Clay
Nyarugenge,Nyamirambo,-1.975,30.0397,Sandy loam
Nyarugenge,Nyarugenge,-1.9508,30.0556,Clay loam
Nyarugenge,Rwezamenyo,-1.9494,30.0556,Clay
Gasabo,Bumbogo,-1.8897,30.1147,Sandy clay
Gasabo,Gatsata,-1.9178,30.0672,Clay loam
Gasabo,Gikomero,-1.8794,30.1969,Sandy loam
Gasabo,Gisozi,-1.9289,30.0839,Clay
Gasabo,Jabana,-1.8961,30.0506,Sandy clay
Gasabo,Jali,-1.8897,30.1672,Clay loam
Gasabo,Kacyiru,-1.9447,30.0922,Loamy sand
Gasabo,Kimihurura,-1.9536,30.0922,Clay
Gasabo,Kimironko,-1.9494,30.1191,Sandy loam
Gasabo,Kinyinya,-1.9178,30.1017,Clay loam
Gasabo,Ndera,-1.9178,30.1672,Sandy clay
Gasabo,Nduba,-1.8794,30.1372,Clay
Gasabo,Remera,-1.9557,30.1097,Clay loam
Gasabo,Rusororo,-1.9289,30.1447,Sandy loam
Gasabo,Rutunga,-1.8897,30.1447,Clay
Kicukiro,Gahanga,-2.0247,30.1017,Sandy clay
Kicukiro,Gatenga,-1.9872,30.0922,Clay loam
Kicukiro,Gikondo,-1.975,30.0756,Sandy loam
Kicukiro,Kagarama,-1.9935,30.0922,Clay
Kicukiro,Kanombe,-1.975,30.1286,Sandy clay
Kicukiro,Kigarama,-2.0006,30.1156,Clay loam
Kicukiro,Masaka,-2.0247,30.1447,Sandy loam
Kicukiro,Niboye,-1.9872,30.1097,Clay
Kicukiro,Nyarugunga,-1.9935,30.1286,Sandy clay
Kicukiro,Kicukiro,-1.97,30.1,Loam
