District,Sector,Latitude,Longitude,Soil_Texture
Burera,Bungwe,-1.4478,29.85,Clay loam
Burera,Butaro,-1.4478,29.8775,Sandy clay
Burera,Cyanika,-1.4283,29.85,Clay
Burera,Cyeru,-1.4283,29.8775,Sandy loam
Burera,Gahunga,-1.4089,29.85,Clay loam
Burera,Gatebe,-1.4089,29.8775,Sandy clay
Burera,Gitovu,-1.4478,29.905,Clay
Burera,Kagogo,-1.4283,29.905,Sandy loam
Burera,Kinoni,-1.4089,29.905,Clay loam
Burera,Kinyababa,-1.4672,29.85,Sandy clay
Burera,Kivuye,-1.4672,29.8775,Clay
Burera,Nemba,-1.4672,29.905,Sandy loam
Burera,Rugarama,-1.4867,29.85,Clay loam
Burera,Rugendabari,-1.4867,29.8775,Sandy clay
Burera,Ruhunde,-1.4867,29.905,Clay
Burera,Rusarabuye,-1.5061,29.85,Sandy loam
Burera,Rwerere,-1.5061,29.8775,Clay loam
Gakenke,Coko,-1.7117,29.85,Sandy clay
Gakenke,Cyabingo,-1.7117,29.8775,Clay loam
Gakenke,Gakenke,-1.6925,29.85,Clay
Gakenke,Gashenyi,-1.6925,29.8775,Sandy loam
Gakenke,Janja,-1.6731,29.85,Clay loam
Gakenke,Kamubuga,-1.6731,29.8775,Sandy clay
Gakenke,Karambo,-1.7117,29.905,Clay
Gakenke,Kivuruga,-1.6925,29.905,Sandy loam
Gakenke,Mataba,-1.6731,29.905,Clay loam
Gakenke,Minazi,-1.7311,29.85,Sandy clay
Gakenke,Mugunga,-1.7311,29.8775,Clay
Gakenke,Muhondo,-1.6925,29.8925,Clay
Gakenke,Muyongwe,-1.7506,29.85,Clay loam
Gakenke,Muzo,-1.7506,29.8775,Sandy clay
Gakenke,Nemba,-1.7506,29.905,Clay
Gakenke,Ruli,-1.77,29.85,Sandy loam
Gakenke,Rusasa,-1.77,29.8775,Clay loam
Gakenke,Rushashi,-1.77,29.905,Sandy clay
Gicumbi,Bukure,-1.5583,30.1,Clay loam
Gicumbi,Bwisige,-1.5583,30.1275,Sandy clay
Gicumbi,Byumba,-1.5389,30.1,Clay
Gicumbi,Cyumba,-1.5389,30.1275,Sandy loam
Gicumbi,Giti,-1.5194,30.1,Clay loam
Gicumbi,Kaniga,-1.5194,30.1275,Sandy clay
Gicumbi,Manyagiro,-1.5583,30.155,Clay
Gicumbi,Miyove,-1.5389,30.155,Sandy loam
Gicumbi,Mugambi,-1.5194,30.155,Clay loam
Gicumbi,Mukarange,-1.5778,30.1,Sandy clay
Gicumbi,Muko,-1.5778,30.1275,Clay
Gicumbi,Mutete,-1.5778,30.155,Sandy loam
Gicumbi,Nyamiyaga,-1.5972,30.1,Clay loam
Gicumbi,Nyankenke,-1.5972,30.1275,Sandy clay
Gicumbi,Rubaya,-1.5972,30.155,Clay
Gicumbi,Rukomo,-1.6167,30.1,Sandy loam
Gicumbi,Rushaki,-1.6167,30.1275,Clay loam
Gicumbi,Rutare,-1.6167,30.155,Sandy clay
Gicumbi,Ruvune,-1.6361,30.1,Clay
Gicumbi,Rwamiko,-1.6361,30.1275,Sandy loam
Gicumbi,Shangasha,-1.6361,30.155,Clay loam
Musanze,Busogo,-1.5583,29.5561,Clay loam
Musanze,Cyuve,-1.5389,29.5561,Sandy clay
Musanze,Gacaca,-1.5583,29.5836,Clay
Musanze,Gashaki,-1.5389,29.5836,Sandy loam
Musanze,Gataraga,-1.5194,29.5561,Clay loam
Musanze,Kimonyi,-1.5194,29.5836,Sandy clay
Musanze,Kinigi,-1.5583,29.6111,Clay
Musanze,Muhoza,-1.5389,29.6111,Sandy loam
Musanze,Muko,-1.5194,29.6111,Clay loam
Musanze,Musanze,-1.5778,29.5561,Sandy clay
Musanze,Nkotsi,-1.5778,29.5836,Clay
Musanze,Nyange,-1.5778,29.6111,Sandy loam
Musanze,Remera,-1.5972,29.5561,Clay loam
Musanze,Rwaza,-1.5972,29.5836,Sandy clay
Musanze,Shingiro,-1.5972,29.6111,Clay
Rulindo,Base,-1.7311,29.9931,Clay loam
Rulindo,Burega,-1.7311,30.0206,Sandy clay
Rulindo,Bushoki,-1.7117,29.9931,Clay
Rulindo,Buyoga,-1.7117,30.0206,Sandy loam
Rulindo,Cyinzuzi,-1.6925,29.9931,Clay loam
Rulindo,Cyungo,-1.6925,30.0206,Sandy clay
Rulindo,Kinihira,-1.7311,30.0481,Clay
Rulindo,Kisaro,-1.7117,30.0481,Sandy loam
Rulindo,Kigabiro,-1.78,30.05,Sandy loam
Rulindo,Masoro,-1.6925,30.0481,Clay loam
Rulindo,Mbogo,-1.7506,29.9931,Sandy clay
Rulindo,Murambi,-1.7506,30.0206,Clay
Rulindo,Ngoma,-1.7506,30.0481,Sandy loam
Rulindo,Ntarabana,-1.77,29.9931,Clay loam
Rulindo,Rukozo,-1.77,30.0206,Sandy clay
Rulindo,Rusiga,-1.77,30.0481,Clay
Rulindo,Shyorongi,-1.7894,29.9931,Sandy loam
Rulindo,Tumba,-1.7894,30.0206,Clay loam
