crop,season,altitude,soil_type,water_requirement_mm_day,irrigation_strategy,total_water_requirement_m3
Maize,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Maize,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Maize,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Maize,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Maize,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Maize,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Maize,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Maize,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Maize,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Maize,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Maize,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Maize,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Maize,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Maize,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Maize,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Maize,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Maize,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Maize,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Maize,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Maize,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Maize,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Maize,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Maize,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Maize,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Maize,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Maize,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Maize,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Maize,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Maize,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Maize,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Rice,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Rice,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Rice,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Rice,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Rice,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Rice,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Rice,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Rice,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Rice,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Rice,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Rice,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Rice,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Rice,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Rice,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Rice,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Rice,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Rice,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Rice,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Rice,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Rice,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Rice,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Rice,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Rice,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Rice,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Rice,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Rice,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Rice,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Rice,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Rice,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Rice,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Sorghum,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Sorghum,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Sorghum,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Sorghum,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Sorghum,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Sorghum,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Sorghum,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Sorghum,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Sorghum,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Sorghum,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Sorghum,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Sorghum,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Sorghum,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Sorghum,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Sorghum,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Sorghum,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Sorghum,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Sorghum,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Sorghum,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Sorghum,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Sorghum,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Sorghum,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Sorghum,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Sorghum,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Sorghum,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Sorghum,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Sorghum,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Sorghum,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Sorghum,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Sorghum,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Wheat,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Wheat,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Wheat,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Wheat,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Wheat,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Wheat,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Wheat,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Wheat,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Wheat,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Wheat,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Wheat,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Wheat,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Wheat,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Wheat,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Wheat,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Wheat,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Wheat,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Wheat,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Wheat,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Wheat,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Wheat,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Wheat,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Wheat,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Wheat,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Wheat,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Wheat,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Wheat,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Wheat,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Wheat,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Wheat,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Millet,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Millet,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Millet,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Millet,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Millet,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Millet,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Millet,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Millet,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Millet,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Millet,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Millet,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Millet,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Millet,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Millet,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Millet,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Millet,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Millet,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Millet,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Millet,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Millet,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Millet,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Millet,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Millet,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Millet,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Millet,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Millet,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
Millet,wet,high,loamy,580,Sprinkler irrigation or combination,5800000.0
Millet,wet,high,clay,580,Flood irrigation or high-frequency sprinklers,5800000.0
Millet,wet,high,silty,580,Sprinkler irrigation or combination,5800000.0
Millet,wet,high,peaty,580,Flood irrigation or high-frequency sprinklers,5800000.0
Cassava,dry,low,sandy,850,Drip irrigation or rain-fed,8500000.0
Cassava,dry,low,loamy,850,Sprinkler irrigation or combination,8500000.0
Cassava,dry,low,clay,850,Flood irrigation or high-frequency sprinklers,8500000.0
Cassava,dry,low,silty,850,Sprinkler irrigation or combination,8500000.0
Cassava,dry,low,peaty,850,Flood irrigation or high-frequency sprinklers,8500000.0
Cassava,wet,low,sandy,630,Drip irrigation or rain-fed,6300000.0
Cassava,wet,low,loamy,630,Sprinkler irrigation or combination,6300000.0
Cassava,wet,low,clay,630,Flood irrigation or high-frequency sprinklers,6300000.0
Cassava,wet,low,silty,630,Sprinkler irrigation or combination,6300000.0
Cassava,wet,low,peaty,630,Flood irrigation or high-frequency sprinklers,6300000.0
Cassava,dry,mid,sandy,900,Drip irrigation or rain-fed,9000000.0
Cassava,dry,mid,loamy,900,Sprinkler irrigation or combination,9000000.0
Cassava,dry,mid,clay,900,Flood irrigation or high-frequency sprinklers,9000000.0
Cassava,dry,mid,silty,900,Sprinkler irrigation or combination,9000000.0
Cassava,dry,mid,peaty,900,Flood irrigation or high-frequency sprinklers,9000000.0
Cassava,wet,mid,sandy,650,Drip irrigation or rain-fed,6500000.0
Cassava,wet,mid,loamy,650,Sprinkler irrigation or combination,6500000.0
Cassava,wet,mid,clay,650,Flood irrigation or high-frequency sprinklers,6500000.0
Cassava,wet,mid,silty,650,Sprinkler irrigation or combination,6500000.0
Cassava,wet,mid,peaty,650,Flood irrigation or high-frequency sprinklers,6500000.0
Cassava,dry,high,sandy,800,Drip irrigation or rain-fed,8000000.0
Cassava,dry,high,loamy,800,Sprinkler irrigation or combination,8000000.0
Cassava,dry,high,clay,800,Flood irrigation or high-frequency sprinklers,8000000.0
Cassava,dry,high,silty,800,Sprinkler irrigation or combination,8000000.0
Cassava,dry,high,peaty,800,Flood irrigation or high-frequency sprinklers,8000000.0
Cassava,wet,high,sandy,580,Drip irrigation or rain-fed,5800000.0
