district,sector,latitude,longitude,soil_type,crop_type,planting_year,planting_season,field_size_ha,elevation_m,soil_ph,soil_organic_matter,soil_nitrogen,soil_phosphorus,soil_potassium,avg_temperature,min_temperature,max_temperature,rainfall_mm,rainfall_days,humidity_pct,fertilizer_used,fertilizer_quantity_kg_ha,pesticide_used,irrigation_used,previous_year_yield,yield_tonnes_per_ha
Bugesera,Bugesera-Sector-2,-1.7256697156963234,29.73624878099254,Loamy Sand,Coffee,2015,B,2.371007982479002,2204.104175401152,7.062600138120452,1.348947156063551,0.11680988079638786,10.628065719858679,82.42619024963273,19.656241991648706,13.700383839652194,24.53993684133841,1809.5858063430883,186,69.9688863042447,0,0.0,0,0,7.0712867731046645,1.4884295893632953
Gatsibo,Gatsibo-Sector-5,-1.7438479018050732,30.827036145254688,Silty Clay,Rice,2015,C,5.598773885466011,1294.9358693539602,6.726481643613956,3.4123492689017603,0.34398712322129643,37.417332781593835,177.7024339788127,25.359255935116245,21.957210249764323,28.50316931668294,729.6338652174809,60,63.78024050472031,1,275.78776466915656,1,1,6.276834570647909,9.918102639762592
Gisagara,Gisagara-Sector-3,-1.5208067985655827,29.032870723704846,Silty Clay,Beans,2015,A,5.188495942682127,2969.7863770866024,5.613191021278333,3.1182715124765226,0.2684086746720354,18.62166328579482,173.4850037657167,14.072895936134493,10.035894086162903,21.55683798566455,2200.0,200,80.41091663553676,1,57.95117037129128,1,0,3.8819191005838682,1.3514829046838743
Musanze,Musanze-Sector-2,-1.812279179140145,30.252979915154654,Volcanic Soil,Maize,2015,B,3.3679851817705386,2056.0826434468663,6.577786452987847,5.0199108178751715,0.5082691336515479,50.418038686598635,163.11524773910548,22.82125625037297,19.729839792172186,30.157331155746583,1064.7013605228904,110,54.53029941291766,1,95.57096961898952,1,1,1.3474411227645338,5.025786238304028
Rutsiro,Rutsiro-Sector-4,-1.145591712498413,29.331279352777408,Sandy Loam,Tea,2015,A,3.4949759563547764,2333.3843693681542,6.580839172330612,2.673070869321518,0.23793889104444454,20.201727047658338,132.35013281210033,21.3872886904388,18.123625816818368,28.41661312414452,2050.023530660816,195,75.29956853996806,0,0.0,1,1,5.789247483632333,2.728224024638866
Ngoma,Ngoma-Sector-10,-1.065484041239345,30.591319856481455,Loamy Sand,Cassava,2015,A,7.717980038600175,1563.395624146269,5.588100012598126,1.805887700749057,0.21598129637607177,13.104382411248428,112.67832305926544,25.831701048080046,21.044784826256514,31.18958199083084,600.0,60,50.00515360674848,1,291.25672766662814,0,1,9.41423433979986,22.49210346202132
Gakenke,Gakenke-Sector-3,-2.7381006619926067,30.70957284436544,Silty Clay,Cassava,2015,A,7.4370944279715845,1623.9835679665205,6.26431555311392,3.246130849538239,0.3567639828588307,27.65392741648885,127.53563722096725,26.12987228483865,21.978198620719017,31.847636590408595,984.9398563887905,83,59.545498179652135,1,84.81801816584681,1,0,5.567880373775054,22.59687356257862
Kirehe,Kirehe-Sector-3,-1.0320969820070158,29.88493537166913,Clay,Sweet Potato,2015,A,1.6015813093542368,2328.851963224797,5.4675831016933225,2.4969782796289315,0.27189622139766234,25.070300544208195,138.9466169228716,18.061713045060042,14.024625064548284,21.96970162906717,1793.7567177498129,166,79.05368112418759,1,121.98240411893153,1,1,1.8216038443590876,13.476628655431627
Gisagara,Gisagara-Sector-9,-1.2151578897725361,30.111143501080964,Loam,Maize,2015,C,7.288346302017768,1813.7514935566617,7.3660292973835695,3.0456215636914674,0.28411341616270325,21.867897383715306,119.07108716803778,23.226240464283055,19.088323369126407,29.9474887234995,1136.8430531287281,118,58.0816681907034,1,279.9639041031901,0,0,7.50626185704261,4.176241901668843
Nyanza,Nyanza-Sector-8,-1.6733085938171688,30.52289637191966,Volcanic Soil,Vegetables,2015,C,4.579151209713665,1246.1322937071839,6.33655946892583,5.4937485036918945,0.5498572037581035,50.365011354617415,179.55250700218068,28.076768862830836,24.461349941384814,32.03020746614917,772.4953537252395,96,51.931060818752734,1,123.51116980524289,1,0,5.577330966943846,17.992753016280968
Nyanza,Nyanza-Sector-2,-1.1198146454569307,29.852183756222043,Volcanic Soil,Rice,2015,C,1.636878434714054,2305.7846966116485,6.366573731175318,5.099832170746379,0.4444084861180995,48.801430054799226,201.58265349438884,17.08549379637447,13.35597722337611,23.696828455652767,1650.8167722178887,148,65.95634305225548,0,0.0,1,1,1.6663804517957308,7.0985966408680445
Nyaruguru,Nyaruguru-Sector-4,-2.2258438654712296,30.574238153035854,Clay Loam,Beans,2015,B,9.115177635049008,1345.6552699267163,6.73766099713399,3.2261184243901813,0.31887799139238315,20.24308649230794,159.3416496120862,27.029572272462975,22.821922141672033,31.119687809933406,600.0,65,63.24025461409642,1,92.91982146207587,0,0,9.185838662324741,2.139401477770977
Ruhango,Ruhango-Sector-10,-1.0463532246380616,30.89145560826369,Clay Loam,Sweet Potato,2015,A,2.8131466848033395,1609.6592008642986,5.516493742987721,2.7737712601376145,0.3037871581813649,15.476508258966831,150.1333772732982,22.429416926840048,18.261530084714117,26.872885610693547,666.4774304974637,84,61.94036674115274,1,288.52173413490823,0,0,3.0641566127258515,14.895787458164081
