location,month,month_name,temperature_c,rainfall_mm,humidity_pct
Bugesera,1,January,23.5,21.6,60.4
Bugesera,2,February,22.4,17.1,59.8
Bugesera,3,March,21.3,315.2,71.3
Bugesera,4,April,20.9,303.1,71.6
Bugesera,5,May,21.1,322.0,70.2
Bugesera,6,June,22.2,23.2,60.0
Bugesera,7,July,23.5,21.0,61.6
Bugesera,8,August,25.2,21.7,61.5
Bugesera,9,September,26.5,147.0,70.3
Bugesera,10,October,26.6,142.0,70.2
Bugesera,11,November,26.2,126.0,70.8
Bugesera,12,December,25.1,132.6,70.9
Burera,1,January,19.1,44.7,68.3
Burera,2,February,17.2,36.5,68.1
Burera,3,March,16.6,623.1,78.7
Burera,4,April,15.9,592.0,77.9
Burera,5,May,16.5,632.7,77.8
Burera,6,June,17.8,59.7,67.2
Burera,7,July,19.0,31.3,68.1
Burera,8,August,20.2,38.7,68.2
Burera,9,September,21.7,185.0,77.7
Burera,10,October,22.0,220.5,77.4
Burera,11,November,21.7,234.5,79.0
Burera,12,December,20.1,278.0,78.0
Gakenke,1,January,20.0,33.4,66.1
Gakenke,2,February,18.9,38.0,65.9
Gakenke,3,March,17.7,578.3,75.4
Gakenke,4,April,17.5,575.7,75.7
Gakenke,5,May,18.1,529.2,75.5
Gakenke,6,June,19.1,33.7,65.6
Gakenke,7,July,20.5,32.2,66.7
Gakenke,8,August,21.6,34.0,65.4
Gakenke,9,September,23.0,196.8,77.7
Gakenke,10,October,23.4,229.3,76.2
Gakenke,11,November,23.4,186.4,75.2
Gakenke,12,December,21.8,279.2,75.7
Gasabo,1,January,21.8,26.8,64.3
Gasabo,2,February,20.7,24.9,65.1
Gasabo,3,March,19.2,469.4,75.7
Gasabo,4,April,19.1,413.4,75.5
Gasabo,5,May,19.2,475.8,75.4
Gasabo,6,June,20.6,27.5,65.3
Gasabo,7,July,22.0,39.5,65.3
Gasabo,8,August,23.5,42.9,64.8
Gasabo,9,September,25.0,177.7,76.0
Gasabo,10,October,24.9,200.9,75.3
Gasabo,11,November,24.2,218.8,75.1
Gasabo,12,December,23.4,186.4,75.2
Gatsibo,1,January,23.9,29.2,60.6
Gatsibo,2,February,22.1,25.9,60.0
Gatsibo,3,March,21.3,338.9,70.8
Gatsibo,4,April,21.0,355.0,71.6
Gatsibo,5,May,21.1,409.7,71.1
Gatsibo,6,June,22.1,21.2,60.7
Gatsibo,7,July,23.7,21.6,61.0
Gatsibo,8,August,25.3,20.4,61.2
Gatsibo,9,September,26.4,135.9,71.2
Gatsibo,10,October,26.6,115.7,71.3
Gatsibo,11,November,26.4,118.9,71.7
Gatsibo,12,December,25.0,143.4,70.9
Gicumbi,1,January,18.7,45.0,67.3
Gicumbi,2,February,17.4,32.6,66.0
Gicumbi,3,March,16.1,632.4,76.9
Gicumbi,4,April,15.7,564.3,77.7
Gicumbi,5,May,16.1,537.7,76.2
Gicumbi,6,June,17.1,38.7,67.0
Gicumbi,7,July,18.8,47.9,67.0
Gicumbi,8,August,20.2,54.6,66.9
Gicumbi,9,September,21.6,202.2,75.5
Gicumbi,10,October,22.1,218.1,77.5
