"Category","Heatmap (y)","Heatmap (value)"
"JAN","2010-2020",0.58
"JAN","2000-2010",-0.08
"JAN","1990-2000",-0.32
"JAN","1980-1990",-0.44
"JAN","1970-1980",-1.14
"JAN","1960-1970",-1.19
"JAN","1950-1960",-1.2
"FEB","2010-2020",0.37
"FEB","2000-2010",-0.01
"FEB","1990-2000",-0.37
"FEB","1980-1990",-0.48
"FEB","1970-1980",-1.22
"FEB","1960-1970",-1.49
"FEB","1950-1960",-1.38
"MAR","2010-2020",0.37
"MAR","2000-2010",-0.06
"MAR","1990-2000",-0.09
"MAR","1980-1990",-0.21
"MAR","1970-1980",-0.85
"MAR","1960-1970",-1.07
"MAR","1950-1960",-0.95
"APR","2010-2020",0.37
"APR","2000-2010",-0.06
"APR","1990-2000",-0.04
"APR","1980-1990",-0.16
"APR","1970-1980",-0.72
"APR","1960-1970",-0.76
"APR","1950-1960",-0.77
"MAY","2010-2020",0.38
"MAY","2000-2010",0.01
"MAY","1990-2000",-0.24
"MAY","1980-1990",-0.32
"MAY","1970-1980",-0.94
"MAY","1960-1970",-0.89
"MAY","1950-1960",-1.02
"JUN","2010-2020",0.58
"JUN","2000-2010",-0.11
"JUN","1990-2000",-0.07
"JUN","1980-1990",-0.22
"JUN","1970-1980",-1.01
"JUN","1960-1970",-0.82
"JUN","1950-1960",-0.86
"JUL","2010-2020",0.66
"JUL","2000-2010",-0.11
"JUL","1990-2000",-0.3
"JUL","1980-1990",-0.23
"JUL","1970-1980",-0.93
"JUL","1960-1970",-0.66
"JUL","1950-1960",-0.57
"AUG","2010-2020",0.48
"AUG","2000-2010",-0.02
"AUG","1990-2000",-0.19
"AUG","1980-1990",-0.25
"AUG","1970-1980",-0.79
"AUG","1960-1970",-0.62
"AUG","1950-1960",-0.42
"SEP","2010-2020",0.19
"SEP","2000-2010",0.19
"SEP","1990-2000",0.03
"SEP","1980-1990",-0.49
"SEP","1970-1980",-0.81
"SEP","1960-1970",-0.97
"SEP","1950-1960",-0.46
"OCT","2010-2020",0.36
"OCT","2000-2010",0.07
"OCT","1990-2000",-0.36
"OCT","1980-1990",-0.54
"OCT","1970-1980",-0.68
"OCT","1960-1970",-0.97
"OCT","1950-1960",-0.41
"NOV","2010-2020",0.4
"NOV","2000-2010",-0.03
"NOV","1990-2000",-0.22
"NOV","1980-1990",-0.36
"NOV","1970-1980",-0.74
"NOV","1960-1970",-1.02
"NOV","1950-1960",-0.74
"DEC","2010-2020",0.41
"DEC","2000-2010",0.08
"DEC","1990-2000",-0.36
"DEC","1980-1990",-0.32
"DEC","1970-1980",-0.94
"DEC","1960-1970",-0.97
"DEC","1950-1960",-1.03
