"Category","Heatmap (y)","Heatmap (value)"
"JAN","2010-2020",0.53
"JAN","2000-2010",-0.06
"JAN","1990-2000",-0.18
"JAN","1980-1990",-0.32
"JAN","1970-1980",-1.03
"JAN","1960-1970",-1.39
"JAN","1950-1960",-0.99
"FEB","2010-2020",0.41
"FEB","2000-2010",-0.07
"FEB","1990-2000",-0.11
"FEB","1980-1990",-0.36
"FEB","1970-1980",-0.98
"FEB","1960-1970",-1.38
"FEB","1950-1960",-1.08
"MAR","2010-2020",0.35
"MAR","2000-2010",-0.16
"MAR","1990-2000",-0.03
"MAR","1980-1990",-0.16
"MAR","1970-1980",-0.78
"MAR","1960-1970",-1.13
"MAR","1950-1960",-0.8
"APR","2010-2020",0.39
"APR","2000-2010",-0.11
"APR","1990-2000",0.04
"APR","1980-1990",-0.03
"APR","1970-1980",-0.6
"APR","1960-1970",-0.9
"APR","1950-1960",-0.58
"MAY","2010-2020",0.36
"MAY","2000-2010",0
"MAY","1990-2000",-0.16
"MAY","1980-1990",-0.14
"MAY","1970-1980",-0.78
"MAY","1960-1970",-1
"MAY","1950-1960",-0.69
"JUN","2010-2020",0.53
"JUN","2000-2010",-0.12
"JUN","1990-2000",-0.02
"JUN","1980-1990",-0.18
"JUN","1970-1980",-1.01
"JUN","1960-1970",-1.21
"JUN","1950-1960",-0.96
"JUL","2010-2020",0.49
"JUL","2000-2010",-0.13
"JUL","1990-2000",-0.24
"JUL","1980-1990",-0.04
"JUL","1970-1980",-0.83
"JUL","1960-1970",-0.91
"JUL","1950-1960",-0.85
"AUG","2010-2020",0.42
"AUG","2000-2010",0
"AUG","1990-2000",-0.22
"AUG","1980-1990",-0.11
"AUG","1970-1980",-0.76
"AUG","1960-1970",-0.96
"AUG","1950-1960",-0.85
"SEP","2010-2020",0.37
"SEP","2000-2010",0.1
"SEP","1990-2000",0.01
"SEP","1980-1990",-0.21
"SEP","1970-1980",-0.67
"SEP","1960-1970",-0.94
"SEP","1950-1960",-0.73
"OCT","2010-2020",0.39
"OCT","2000-2010",0.04
"OCT","1990-2000",-0.28
"OCT","1980-1990",-0.42
"OCT","1970-1980",-0.78
"OCT","1960-1970",-1.15
"OCT","1950-1960",-0.69
"NOV","2010-2020",0.38
"NOV","2000-2010",-0.09
"NOV","1990-2000",-0.15
"NOV","1980-1990",-0.4
"NOV","1970-1980",-0.81
"NOV","1960-1970",-1.09
"NOV","1950-1960",-0.76
"DEC","2010-2020",0.51
"DEC","2000-2010",0.03
"DEC","1990-2000",-0.34
"DEC","1980-1990",-0.35
"DEC","1970-1980",-0.9
"DEC","1960-1970",-1.13
"DEC","1950-1960",-0.83
