"Category","Heatmap (y)","Heatmap (value)"
"JAN","2010-2020",-1.41
"JAN","2000-2010",-0.14
"JAN","1990-2000",0.73
"JAN","1980-1990",0.81
"JAN","1970-1980",3.79
"JAN","1960-1970",3.13
"JAN","1950-1960",3.57
"FEB","2010-2020",-1.35
"FEB","2000-2010",0.3
"FEB","1990-2000",1.33
"FEB","1980-1990",2.42
"FEB","1970-1980",5.91
"FEB","1960-1970",6.22
"FEB","1950-1960",7.4
"MAR","2010-2020",-0.14
"MAR","2000-2010",-0.64
"MAR","1990-2000",1.53
"MAR","1980-1990",2.68
"MAR","1970-1980",6.26
"MAR","1960-1970",9.11
"MAR","1950-1960",7.08
"APR","2010-2020",-0.43
"APR","2000-2010",-0.43
"APR","1990-2000",1.78
"APR","1980-1990",4.85
"APR","1970-1980",7.5
"APR","1960-1970",3.89
"APR","1950-1960",5.69
"MAY","2010-2020",3.05
"MAY","2000-2010",-2.91
"MAY","1990-2000",5.62
"MAY","1980-1990",7.71
"MAY","1970-1980",8.6
"MAY","1960-1970",7.78
"MAY","1950-1960",11.51
"JUN","2010-2020",0.03
"JUN","2000-2010",0.08
"JUN","1990-2000",1.78
"JUN","1980-1990",1.48
"JUN","1970-1980",1.71
"JUN","1960-1970",3
"JUN","1950-1960",0.43
"JUL","2010-2020",0.03
"JUL","2000-2010",0.28
"JUL","1990-2000",-0.07
"JUL","1980-1990",0.35
"JUL","1970-1980",1.2
"JUL","1960-1970",0.8
"JUL","1950-1960",0.05
"AUG","2010-2020",0.31
"AUG","2000-2010",-0.05
"AUG","1990-2000",-0.67
"AUG","1980-1990",0.14
"AUG","1970-1980",0.38
"AUG","1960-1970",0.26
"AUG","1950-1960",-1.28
"SEP","2010-2020",0.74
"SEP","2000-2010",-0.62
"SEP","1990-2000",-1.39
"SEP","1980-1990",2.09
"SEP","1970-1980",0.25
"SEP","1960-1970",1.55
"SEP","1950-1960",-0.52
"OCT","2010-2020",1.79
"OCT","2000-2010",-1.65
"OCT","1990-2000",1.98
"OCT","1980-1990",5.44
"OCT","1970-1980",3.15
"OCT","1960-1970",4.24
"OCT","1950-1960",0.29
"NOV","2010-2020",-0.48
"NOV","2000-2010",0.42
"NOV","1990-2000",0.82
"NOV","1980-1990",3.5
"NOV","1970-1980",3.44
"NOV","1960-1970",7.04
"NOV","1950-1960",3.92
"DEC","2010-2020",-0.05
"DEC","2000-2010",-0.86
"DEC","1990-2000",2.01
"DEC","1980-1990",3.44
"DEC","1970-1980",4.07
"DEC","1960-1970",5.89
"DEC","1950-1960",8.54
