"Category","Heatmap (y)","Heatmap (value)"
"JAN","2010-2020",0
"JAN","2000-2010",0
"JAN","1990-2000",0
"JAN","1980-1990",0
"JAN","1970-1980",0
"JAN","1960-1970",0
"JAN","1950-1960",0
"FEB","2010-2020",0
"FEB","2000-2010",0
"FEB","1990-2000",0
"FEB","1980-1990",0
"FEB","1970-1980",0
"FEB","1960-1970",0
"FEB","1950-1960",0
"MAR","2010-2020",0
"MAR","2000-2010",0
"MAR","1990-2000",0
"MAR","1980-1990",0
"MAR","1970-1980",0
"MAR","1960-1970",0
"MAR","1950-1960",0
"APR","2010-2020",0
"APR","2000-2010",0
"APR","1990-2000",0
"APR","1980-1990",0
"APR","1970-1980",0
"APR","1960-1970",0
"APR","1950-1960",0
"MAY","2010-2020",0
"MAY","2000-2010",0
"MAY","1990-2000",0
"MAY","1980-1990",0
"MAY","1970-1980",0
"MAY","1960-1970",0
"MAY","1950-1960",0
"JUN","2010-2020",0
"JUN","2000-2010",0
"JUN","1990-2000",0
"JUN","1980-1990",0
"JUN","1970-1980",0
"JUN","1960-1970",0
"JUN","1950-1960",0
"JUL","2010-2020",0
"JUL","2000-2010",0
"JUL","1990-2000",0
"JUL","1980-1990",0
"JUL","1970-1980",0
"JUL","1960-1970",0
"JUL","1950-1960",0
"AUG","2010-2020",0
"AUG","2000-2010",0
"AUG","1990-2000",0
"AUG","1980-1990",0
"AUG","1970-1980",0
"AUG","1960-1970",0
"AUG","1950-1960",0
"SEP","2010-2020",0
"SEP","2000-2010",0
"SEP","1990-2000",0
"SEP","1980-1990",0
"SEP","1970-1980",0
"SEP","1960-1970",0
"SEP","1950-1960",0
"OCT","2010-2020",0
"OCT","2000-2010",0
"OCT","1990-2000",0
"OCT","1980-1990",0
"OCT","1970-1980",0
"OCT","1960-1970",0
"OCT","1950-1960",0
"NOV","2010-2020",0
"NOV","2000-2010",0
"NOV","1990-2000",0
"NOV","1980-1990",0
"NOV","1970-1980",0
"NOV","1960-1970",0
"NOV","1950-1960",0
"DEC","2010-2020",0
"DEC","2000-2010",0
"DEC","1990-2000",0
"DEC","1980-1990",0
"DEC","1970-1980",0
"DEC","1960-1970",0
"DEC","1950-1960",0
