"Category","Heatmap (y)","Heatmap (value)"
"JAN","2010-2020",0.13
"JAN","2000-2010",-0.01
"JAN","1990-2000",-0.04
"JAN","1980-1990",-0.09
"JAN","1970-1980",-0.12
"JAN","1960-1970",-0.15
"JAN","1950-1960",-0.12
"FEB","2010-2020",0.17
"FEB","2000-2010",0.05
"FEB","1990-2000",-0.14
"FEB","1980-1990",-0.16
"FEB","1970-1980",-0.24
"FEB","1960-1970",-0.31
"FEB","1950-1960",-0.3
"MAR","2010-2020",0.22
"MAR","2000-2010",0.01
"MAR","1990-2000",-0.08
"MAR","1980-1990",-0.09
"MAR","1970-1980",-0.19
"MAR","1960-1970",-0.22
"MAR","1950-1960",-0.2
"APR","2010-2020",0.03
"APR","2000-2010",-0.01
"APR","1990-2000",-0.02
"APR","1980-1990",-0.12
"APR","1970-1980",-0.17
"APR","1960-1970",-0.18
"APR","1950-1960",-0.17
"MAY","2010-2020",0.02
"MAY","2000-2010",0
"MAY","1990-2000",-0.07
"MAY","1980-1990",-0.17
"MAY","1970-1980",-0.25
"MAY","1960-1970",-0.22
"MAY","1950-1960",-0.27
"JUN","2010-2020",0.11
"JUN","2000-2010",-0.05
"JUN","1990-2000",-0.04
"JUN","1980-1990",-0.15
"JUN","1970-1980",-0.26
"JUN","1960-1970",-0.17
"JUN","1950-1960",-0.25
"JUL","2010-2020",0.3
"JUL","2000-2010",-0.05
"JUL","1990-2000",-0.08
"JUL","1980-1990",-0.11
"JUL","1970-1980",-0.17
"JUL","1960-1970",-0.13
"JUL","1950-1960",-0.18
"AUG","2010-2020",0.34
"AUG","2000-2010",-0.05
"AUG","1990-2000",-0.09
"AUG","1980-1990",-0.15
"AUG","1970-1980",-0.21
"AUG","1960-1970",-0.2
"AUG","1950-1960",-0.23
"SEP","2010-2020",0.03
"SEP","2000-2010",0.04
"SEP","1990-2000",-0.02
"SEP","1980-1990",-0.16
"SEP","1970-1980",-0.15
"SEP","1960-1970",-0.19
"SEP","1950-1960",-0.16
"OCT","2010-2020",0.11
"OCT","2000-2010",0.01
"OCT","1990-2000",-0.07
"OCT","1980-1990",-0.1
"OCT","1970-1980",-0.08
"OCT","1960-1970",-0.11
"OCT","1950-1960",-0.09
"NOV","2010-2020",0.03
"NOV","2000-2010",-0.01
"NOV","1990-2000",-0.02
"NOV","1980-1990",-0.03
"NOV","1970-1980",-0.06
"NOV","1960-1970",-0.06
"NOV","1950-1960",-0.05
"DEC","2010-2020",0.03
"DEC","2000-2010",-0.01
"DEC","1990-2000",0
"DEC","1980-1990",-0.04
"DEC","1970-1980",-0.08
"DEC","1960-1970",-0.06
"DEC","1950-1960",-0.08
