"Year","Annual Precipitation","Trend 1951-2020","Trend 1971-2020","Trend 1991-2020"
1950,1662.76,,,
1951,2091.12,1989.4252394366215,,
1952,1810.7,1980.7267024757257,,
1953,2475.12,1972.0281655148299,,
1954,1595.3,1963.3296285539338,,
1955,1741.59,1954.631091593038,,
1956,1742.46,1945.9325546321422,,
1957,2070.6,1937.2340176712464,,
1958,1670.14,1928.5354807103504,,
1959,1942.46,1919.8369437494546,,
1960,1696.18,1911.1384067885588,,
1961,2000.93,1902.439869827663,,
1962,2231.94,1893.7413328667672,,
1963,2055.85,1885.0427959058711,,
1964,1775.32,1876.3442589449753,,
1965,1717.9,1867.6457219840795,,
1966,1753.04,1858.9471850231837,,
1967,1858.27,1850.2486480622877,,
1968,2039.47,1841.5501111013918,,
1969,1612.51,1832.851574140496,,
1970,1864.4,1824.1530371796002,,
1971,1887.38,1815.4545002187042,1857.4400235294129,
1972,2211.86,1806.7559632578084,1847.3465531812735,
1973,1642.18,1798.0574262969126,1837.2530828331344,
1974,1779.55,1789.3588893360168,1827.159612484995,
1975,2011.71,1780.660352375121,1817.0661421368557,
1976,1827.3,1771.961815414225,1806.9726717887165,
1977,1940.42,1763.2632784533291,1796.8792014405772,
1978,1900.94,1754.5647414924333,1786.7857310924378,
1979,1672.34,1745.8662045315375,1776.6922607442987,
1980,1622.95,1737.1676675706415,1766.5987903961593,
1981,1824.83,1728.4691306097457,1756.50532004802,
1982,1714.19,1719.7705936488499,1746.4118496998808,
1983,1552.69,1711.072056687954,1736.3183793517414,
1984,1575.61,1702.373519727058,1726.224909003602,
1985,1922.28,1693.6749827661622,1716.131438655463,
1986,1908.05,1684.9764458052664,1706.0379683073236,
1987,1951.3,1676.2779088443706,1695.9444979591844,
1988,1817.71,1667.5793718834748,1685.851027611045,
1989,1750.58,1658.8808349225787,1675.7575572629057,
1990,1749.48,1650.182297961683,1665.6640869147664,
1991,1756.76,1641.4837610007871,1655.5706165666272,1466.1918709677416
1992,1568.18,1632.7852240398913,1645.4771462184879,1466.785879866518
1993,1340.93,1624.0866870789955,1635.3836758703487,1467.3798887652945
1994,1610.96,1615.3881501180995,1625.2902055222094,1467.9738976640708
1995,1493.86,1606.6896131572037,1615.19673517407,1468.5679065628474
1996,1466.64,1597.9910761963079,1605.1032648259309,1469.1619154616237
1997,1687.82,1589.2925392354118,1595.0097944777915,1469.7559243604
1998,1477.68,1580.594002274516,1584.9163241296521,1470.3499332591766
1999,1270.98,1571.8954653136202,1574.822853781513,1470.943942157953
2000,1178.97,1563.1969283527244,1564.7293834333736,1471.5379510567295
2001,1552.39,1554.4983913918286,1554.6359130852343,1472.1319599555059
2002,1463.48,1545.7998544309326,1544.5424427370951,1472.7259688542822
2003,1179.23,1537.1013174700367,1534.4489723889558,1473.3199777530588
2004,1314.87,1528.402780509141,1524.3555020408164,1473.913986651835
2005,1326,1519.7042435482451,1514.2620316926773,1474.5079955506117
2006,1679.46,1511.0057065873493,1504.168561344538,1475.102004449388
2007,1382.97,1502.3071696264533,1494.0750909963986,1475.6960133481643
2008,1289.77,1493.6086326655575,1483.9816206482594,1476.290022246941
2009,1484.88,1484.9100957046617,1473.88815030012,1476.8840311457172
2010,1476.2,1476.2115587437656,1463.794679951981,1477.4780400444938
2011,1679.65,1467.51302178287,1453.7012096038416,1478.0720489432701
2012,1632.51,1458.814484821974,1443.6077392557022,1478.6660578420465
2013,1528.94,1450.1159478610782,1433.5142689075628,1479.260066740823
2014,1331.65,1441.4174109001824,1423.4207985594237,1479.8540756395994
2015,1505.2,1432.7188739392864,1413.3273282112843,1480.448084538376
2016,1254.66,1424.0203369783908,1403.2338578631452,1481.0420934371523
2017,1275.71,1415.3218000174948,1393.1403875150058,1481.6361023359286
2018,1721.71,1406.623263056599,1383.0469171668665,1482.2301112347052
2019,1553.88,1397.9247260957031,1372.9534468187271,1482.8241201334815
2020,1758.21,1389.226189134807,1362.859976470588,1483.418129032258
