"Category","Heatmap (y)","Heatmap (value)"
"JAN","2010-2020",-24.73
"JAN","2000-2010",2.31
"JAN","1990-2000",8.82
"JAN","1980-1990",8.66
"JAN","1970-1980",38.06
"JAN","1960-1970",32.54
"JAN","1950-1960",62.62
"FEB","2010-2020",-6.32
"FEB","2000-2010",-4.8
"FEB","1990-2000",24.44
"FEB","1980-1990",15.57
"FEB","1970-1980",58.23
"FEB","1960-1970",75.85
"FEB","1950-1960",74.24
"MAR","2010-2020",-10.99
"MAR","2000-2010",-8.07
"MAR","1990-2000",13.24
"MAR","1980-1990",30.11
"MAR","1970-1980",57.8
"MAR","1960-1970",78.2
"MAR","1950-1960",55.56
"APR","2010-2020",26.62
"APR","2000-2010",-2.79
"APR","1990-2000",15.94
"APR","1980-1990",71.82
"APR","1970-1980",72.63
"APR","1960-1970",55.04
"APR","1950-1960",96.11
"MAY","2010-2020",-8.7
"MAY","2000-2010",-6.71
"MAY","1990-2000",25.38
"MAY","1980-1990",42.03
"MAY","1970-1980",64.73
"MAY","1960-1970",48
"MAY","1950-1960",78.79
"JUN","2010-2020",6.76
"JUN","2000-2010",-5.49
"JUN","1990-2000",16.21
"JUN","1980-1990",5.21
"JUN","1970-1980",16.64
"JUN","1960-1970",19.5
"JUN","1950-1960",-0.9
"JUL","2010-2020",0.11
"JUL","2000-2010",2.32
"JUL","1990-2000",-3.44
"JUL","1980-1990",2.4
"JUL","1970-1980",7.25
"JUL","1960-1970",7.64
"JUL","1950-1960",-0.81
"AUG","2010-2020",8.07
"AUG","2000-2010",-7.88
"AUG","1990-2000",-6.56
"AUG","1980-1990",2.67
"AUG","1970-1980",-1.02
"AUG","1960-1970",-2.42
"AUG","1950-1960",-12.7
"SEP","2010-2020",21.42
"SEP","2000-2010",-15.46
"SEP","1990-2000",-15.35
"SEP","1980-1990",42.58
"SEP","1970-1980",17.79
"SEP","1960-1970",26.12
"SEP","1950-1960",-4.01
"OCT","2010-2020",17.75
"OCT","2000-2010",-8.19
"OCT","1990-2000",18.69
"OCT","1980-1990",58.89
"OCT","1970-1980",27.45
"OCT","1960-1970",23.83
"OCT","1950-1960",-2.06
"NOV","2010-2020",-2.97
"NOV","2000-2010",-0.27
"NOV","1990-2000",4.5
"NOV","1980-1990",23.93
"NOV","1970-1980",35.44
"NOV","1960-1970",34.34
"NOV","1950-1960",23.3
"DEC","2010-2020",24.1
"DEC","2000-2010",-4.66
"DEC","1990-2000",-4.43
"DEC","1980-1990",15.24
"DEC","1970-1980",33.91
"DEC","1960-1970",30.61
"DEC","1950-1960",65.19
