crop,low_altitude_short_dry,low_altitude_long_rainy,low_altitude_long_dry,low_altitude_short_rainy,mid_altitude_short_dry,mid_altitude_long_rainy,mid_altitude_long_dry,mid_altitude_short_rainy,high_altitude_short_dry,high_altitude_long_rainy,high_altitude_long_dry,high_altitude_short_rainy,nitrogen_req,phosphorus_req,potassium_req,min_ph,max_ph,optimal_ph,planting_season,days_to_harvest,pest_vulnerability,disease_vulnerability,common_pests,common_diseases,intercropping_compatibility,drought_resistance,optimal_yield,average_yield,min_sunlight_hours,optimal_sunlight_hours,row_spacing_cm,plant_spacing_cm,planting_depth_cm,good_previous_crops,bad_previous_crops,fallow_recommended,low_altitude_short_dry_adjusted,low_altitude_long_dry_adjusted,low_altitude_short_rainy_adjusted,low_altitude_long_rainy_adjusted,mid_altitude_short_dry_adjusted,mid_altitude_long_dry_adjusted,mid_altitude_short_rainy_adjusted,mid_altitude_long_rainy_adjusted,high_altitude_short_dry_adjusted,high_altitude_long_dry_adjusted,high_altitude_short_rainy_adjusted,high_altitude_long_rainy_adjusted
Maize,650,455,700,480,600,420,650,440,550,385,600,400,120,60,40,5.5,7.5,6.0,2-3,90,7,8,"Fall armyworm,Stalk borers","Gray leaf spot,Common rust","Beans,Peas,Cabbage",5,6.0,3.0,6,8,75,25,5,"Beans,Soybeans,Groundnuts","Maize,Sorghum,Millet",0,715.0000000000001,770.0000000000001,528.0,500.50000000000006,660.0,715.0000000000001,484.00000000000006,462.00000000000006,605.0,660.0,440.00000000000006,423.50000000000006
Rice,1200,840,1300,860,1100,770,1200,810,1000,700,1100,730,100,50,80,5.5,7.0,6.0,"1-2,9-10",120,6,7,"Rice weevil,Stem borers","Rice blast,Bacterial blight",None,3,5.0,3.5,6,8,30,15,2,None,Rice,1,1320.0,1430.0000000000002,946.0000000000001,924.0000000000001,1210.0,1320.0,891.0000000000001,847.0000000000001,1100.0,1210.0,803.0000000000001,770.0000000000001
Sorghum,450,315,480,330,400,280,430,295,350,245,380,260,80,40,30,5.5,7.5,6.0,9-10,100,5,6,"Sorghum midge,Birds","Anthracnose,Downy mildew","Groundnuts,Cowpeas",8,3.0,1.5,6,8,75,15,3,"Beans,Soybeans,Groundnuts","Maize,Sorghum,Millet",0,495.00000000000006,528.0,363.00000000000006,346.5,440.00000000000006,473.00000000000006,324.5,308.0,385.00000000000006,418.00000000000006,286.0,269.5
Wheat,450,315,480,330,425,298,445,310,400,280,430,290,100,50,40,6.0,7.5,6.5,2-3,110,8,7,"Aphids,Hessian fly","Powdery mildew,Rust","Beans,Peas",6,4.0,2.5,6,8,20,5,3,"Beans,Soybeans,Groundnuts",Wheat,0,495.00000000000006,528.0,363.00000000000006,346.5,467.50000000000006,489.50000000000006,341.0,327.8,440.00000000000006,473.00000000000006,319.0,308.0
Millet,400,280,420,290,375,263,395,275,350,245,380,260,60,30,20,5.5,7.5,6.0,9-10,90,5,6,"Birds,Shoot fly","Downy mildew,Smut","Groundnuts,Cowpeas",8,2.5,1.2,6,8,60,15,2,"Beans,Soybeans,Groundnuts","Maize,Sorghum,Millet",0,440.00000000000006,462.00000000000006,319.0,308.0,412.50000000000006,434.50000000000006,302.5,289.3,385.00000000000006,418.00000000000006,286.0,269.5
Cassava,900,630,950,650,850,595,900,620,800,560,850,580,60,20,80,5.0,6.5,5.8,9-11,300,4,5,"Whiteflies,Cassava mealybug","Cassava mosaic,Bacterial blight","Maize,Beans",7,25.0,12.0,5,7,100,100,10,"Maize,Sorghum,Millet","Cassava,Sweet Potatoes,Irish Potatoes",1,990.0000000000001,1045.0,715.0000000000001,693.0,935.0000000000001,990.0000000000001,682.0,654.5,880.0000000000001,935.0000000000001,638.0,616.0
Sweet Potatoes,550,385,580,400,500,350,530,365,450,315,480,330,80,40,100,5.5,6.5,6.0,9-10,150,6,7,"Weevils,Vine borers","Sweet potato virus,Black rot","Maize,Beans",7,18.0,10.0,6,8,75,30,10,"Maize,Sorghum,Millet","Cassava,Sweet Potatoes,Irish Potatoes",0,605.0,638.0,440.00000000000006,423.50000000000006,550.0,583.0,401.50000000000006,385.00000000000006,495.00000000000006,528.0,363.00000000000006,346.5
Irish Potatoes,600,420,630,440,550,385,580,405,500,350,530,360,110,80,120,5.5,6.5,6.0,"1-2,6-7",100,7,8,"Colorado beetle,Aphids","Late blight,Early blight","Maize,Beans,Peas",5,20.0,12.0,6,7,75,30,8,"Maize,Sorghum,Millet","Cassava,Sweet Potatoes,Irish Potatoes",0,660.0,693.0,484.00000000000006,462.00000000000006,605.0,638.0,445.50000000000006,423.50000000000006,550.0,583.0,396.00000000000006,385.00000000000006
Yams,750,525,780,540,700,490,730,510,650,455,680,470,70,30,90,5.5,6.5,6.0,2-3,270,5,6,"Tuber beetles,Scale insects","Anthracnose,Yam mosaic virus","Beans,Sweet Potatoes",6,15.0,8.0,6,8,100,30,10,"Maize,Sorghum,Millet","Cassava,Sweet Potatoes,Irish Potatoes",1,825.0000000000001,858.0000000000001,594.0,577.5,770.0000000000001,803.0000000000001,561.0,539.0,715.0000000000001,748.0000000000001,517.0,500.50000000000006
Taro,800,560,830,580,750,525,780,545,700,490,730,510,60,20,80,5.5,6.5,6.0,2-3,300,5,6,"Aphids,Taro beetles","Phytophthora,Pythium rot","Beans,Cabbage",6,8.0,4.0,5,7,75,60,8,"Maize,Sorghum,Millet","Cassava,Sweet Potatoes,Irish Potatoes",1,880.0000000000001,913.0000000000001,638.0,616.0,825.0000000000001,858.0000000000001,599.5,577.5,770.0000000000001,803.0000000000001,561.0,539.0
