date,location,latitude,longitude,elevation_m,temp_min_c,temp_max_c,temp_avg_c,humidity_pct,rainfall_mm,wind_speed_kmh,sunshine_hours,month,day,day_of_year,year,is_rainy_season
2022-01-01,Nyarugenge,-1.94,30.06,1567,7.3,24.0,15.7,64.7,1.5,4.1,8.6,1,1,1,2022,0
2022-01-02,Nyarugenge,-1.94,30.06,1567,4.0,20.9,12.4,62.9,0.0,1.6,7.7,1,2,2,2022,0
2022-01-03,Nyarugenge,-1.94,30.06,1567,3.7,21.1,12.4,62.4,0.0,0.3,9.1,1,3,3,2022,0
2022-01-04,Nyarugenge,-1.94,30.06,1567,3.4,20.2,11.8,60.0,0.0,2.1,10.9,1,4,4,2022,0
2022-01-05,Nyarugenge,-1.94,30.06,1567,1.9,20.3,11.1,57.8,0.0,4.7,13.0,1,5,5,2022,0
2022-01-06,Nyarugenge,-1.94,30.06,1567,3.1,19.5,11.3,55.6,0.0,4.0,14.1,1,6,6,2022,0
2022-01-07,Nyarugenge,-1.94,30.06,1567,1.3,21.1,11.2,56.8,0.0,4.7,10.4,1,7,7,2022,0
2022-01-08,Nyarugenge,-1.94,30.06,1567,2.5,19.8,11.1,55.6,2.2,1.5,6.5,1,8,8,2022,0
2022-01-09,Nyarugenge,-1.94,30.06,1567,0.7,21.0,10.8,57.6,0.0,5.7,10.6,1,9,9,2022,0
2022-01-10,Nyarugenge,-1.94,30.06,1567,1.4,19.2,10.3,54.5,1.2,0.5,8.7,1,10,10,2022,0
2022-01-11,Nyarugenge,-1.94,30.06,1567,0.8,20.4,10.6,53.6,0.0,2.7,12.6,1,11,11,2022,0
2022-01-12,Nyarugenge,-1.94,30.06,1567,1.7,21.0,11.4,58.3,0.0,0.7,9.1,1,12,12,2022,0
2022-01-13,Nyarugenge,-1.94,30.06,1567,2.1,20.0,11.0,59.8,0.0,3.4,10.2,1,13,13,2022,0
2022-01-14,Nyarugenge,-1.94,30.06,1567,2.1,20.7,11.4,57.9,0.0,5.1,12.4,1,14,14,2022,0
2022-01-15,Nyarugenge,-1.94,30.06,1567,0.9,19.2,10.1,57.1,0.0,4.0,9.0,1,15,15,2022,0
2022-01-16,Nyarugenge,-1.94,30.06,1567,1.2,19.7,10.5,57.8,0.0,3.2,9.8,1,16,16,2022,0
2022-01-17,Nyarugenge,-1.94,30.06,1567,1.8,20.3,11.1,58.5,0.5,5.5,7.2,1,17,17,2022,0
2022-01-18,Nyarugenge,-1.94,30.06,1567,2.4,20.8,11.6,63.0,0.0,2.5,11.2,1,18,18,2022,0
2022-01-19,Nyarugenge,-1.94,30.06,1567,1.6,20.0,10.8,62.3,0.0,1.4,9.7,1,19,19,2022,0
2022-01-20,Nyarugenge,-1.94,30.06,1567,2.2,19.5,10.9,57.6,0.0,5.1,10.2,1,20,20,2022,0
2022-01-21,Nyarugenge,-1.94,30.06,1567,0.6,18.7,9.6,61.0,0.0,4.0,10.9,1,21,21,2022,0
2022-01-22,Nyarugenge,-1.94,30.06,1567,1.7,19.5,10.6,60.5,0.0,2.1,10.3,1,22,22,2022,0
2022-01-23,Nyarugenge,-1.94,30.06,1567,-0.7,17.8,8.6,58.6,0.0,4.0,12.4,1,23,23,2022,0
2022-01-24,Nyarugenge,-1.94,30.06,1567,-0.7,17.8,8.5,58.5,0.0,3.6,12.4,1,24,24,2022,0
2022-01-25,Nyarugenge,-1.94,30.06,1567,-1.3,18.6,8.6,59.4,0.0,6.0,9.9,1,25,25,2022,0
2022-01-26,Nyarugenge,-1.94,30.06,1567,0.9,20.0,10.5,59.6,2.8,1.8,5.7,1,26,26,2022,0
2022-01-27,Nyarugenge,-1.94,30.06,1567,-0.2,19.1,9.5,59.6,0.0,5.6,9.2,1,27,27,2022,0
2022-01-28,Nyarugenge,-1.94,30.06,1567,-0.1,17.9,8.9,60.5,0.0,2.2,12.5,1,28,28,2022,0
2022-01-29,Nyarugenge,-1.94,30.06,1567,-0.2,19.1,9.5,64.7,0.0,3.7,10.9,1,29,29,2022,0
2022-01-30,Nyarugenge,-1.94,30.06,1567,1.2,19.4,10.3,61.6,0.0,4.0,9.0,1,30,30,2022,0
2022-01-31,Nyarugenge,-1.94,30.06,1567,-0.5,19.0,9.2,61.7,0.0,2.5,11.6,1,31,31,2022,0
2022-02-01,Nyarugenge,-1.94,30.06,1567,-0.5,18.8,9.1,60.5,0.0,1.4,9.4,2,1,32,2022,0
