District,Sector,Latitude,Longitude,Soil_Texture
Huye,Gishamvu,-2.6284,29.7453,ferralsol
Huye,Karama,-2.5942,29.7897,ferralsol
Huye,Maraba,-2.5523,29.7442,ferralsol
Huye,Mukura,-2.5831,29.6789,acrisol
Huye,Ngoma,-2.6173,29.7564,ferralsol
Huye,Rusatira,-2.5789,29.7654,acrisol
Huye,Rwaniro,-2.5934,29.7788,ferralsol
Huye,Simbi,-2.5677,29.7345,ferralsol
Huye,Kinazi,-2.5845,29.7567,ferralsol
Huye,Tumba,-2.6012,29.7432,acrisol
Huye,Mbazi,-2.5934,29.7654,ferralsol
Huye,Ruhashya,-2.5878,29.7789,acrisol
Huye,Huye,-2.5967,29.7567,ferralsol
Huye,Kigoma,-2.5845,29.7432,ferralsol
Nyanza,Busasamana,-2.3519,29.7467,ferralsol
Nyanza,Cyabakamyi,-2.3228,29.7892,ferralsol
Nyanza,Kigoma,-2.3744,29.7564,acrisol
Nyanza,Mukingo,-2.3853,29.7231,ferralsol
Nyanza,Ntyazo,-2.3567,29.7345,acrisol
Nyanza,Nyagisozi,-2.3789,29.7567,ferralsol
Nyanza,Rwabicuma,-2.3456,29.7678,ferralsol
Nyanza,Kibirizi,-2.3678,29.7789,acrisol
Nyanza,Muyira,-2.3567,29.7567,ferralsol
Nyanza,Nyanza,-2.3789,29.7678,acrisol
Gisagara,Gikonko,-2.4672,29.8564,ferralsol
Gisagara,Kibirizi,-2.4233,29.8789,acrisol
Gisagara,Mamba,-2.4458,29.8453,ferralsol
Gisagara,Muganza,-2.4567,29.8678,ferralsol
Gisagara,Mukindo,-2.4345,29.8567,acrisol
Gisagara,Musha,-2.4789,29.8345,ferralsol
Gisagara,Ndora,-2.4234,29.8567,acrisol
Gisagara,Nyanza,-2.4567,29.8789,ferralsol
Gisagara,Save,-2.4789,29.8567,ferralsol
Gisagara,Kansi,-2.4567,29.8345,acrisol
Gisagara,Kigembe,-2.4789,29.8678,ferralsol
Gisagara,Gishubi,-2.4567,29.8789,acrisol
Gisagara,Mugombwa,-2.4345,29.8567,ferralsol
Nyaruguru,Busanze,-2.7234,29.6567,acrisol
Nyaruguru,Cyahinda,-2.7456,29.6678,acrisol
Nyaruguru,Kibeho,-2.7567,29.6789,acrisol
Nyaruguru,Mata,-2.7678,29.6567,acrisol
Nyaruguru,Muganza,-2.7789,29.6678,acrisol
Nyaruguru,Munini,-2.7234,29.6789,acrisol
Nyaruguru,Ngera,-2.7456,29.6567,acrisol
